date,open,high,low,close,volume
2024-05-28,29,29.64,24.64,24.73,143584
2024-05-29,22.68,25.54,22.68,23.44,157083
2024-05-30,22.66,30.99,22.66,28.29,231697
2024-05-31,28.48,30.99,23.025,24,203567
2024-06-03,25.41,25.495,23,23.4,100473
2024-06-04,22.51,25,22.31,23.79,98008
2024-06-05,23.8,26.2999,23.48,25,85869
2024-06-06,25,27.4499,23.51,26.81,213499
2024-06-07,27.03,27.03,23,23.22,174117
2024-06-10,23.21,26.6813,22.96,25.46,98211
2024-06-11,25.81,26.19,25.05,25.95,58148
2024-06-12,26.44,28.5,24.3,24.62,117572
2024-06-13,24.8,25.2141,22.52,22.98,95218
2024-06-14,23.42,23.42,21.31,21.89,78118
2024-06-17,21.12,21.8327,19.1501,19.67,96846
2024-06-18,19.46,20.19,18.5001,19.16,81197
2024-06-20,19.13,21.07,18.64,20.18,71887
2024-06-21,20.14,20.445,19.11,19.11,49248
2024-06-24,19.37,20.0099,18.44,19.08,46702
2024-06-25,19,19.08,16.915,17.56,86518
2024-06-26,17.21,19.5,17.21,19.04,71701
2024-06-27,18.8,19.8999,18.32,18.88,49917
2024-06-28,18.85,18.89,17.35,17.57,334334
2024-07-01,17.83,17.9993,15.02,15.07,105804
2024-07-02,15.18,15.62,14.55,15,84845
2024-07-03,14.97,15.49,14.4001,14.73,49597
2024-07-05,14.57,15.13,14.25,15.08,49235
2024-07-08,14.93,16.4435,14.8826,16.22,37527
2024-07-09,16.33,17.32,15.48,17.18,48407
2024-07-10,17.12,17.4831,16.63,17.26,18134
2024-07-11,17.29,18.932,17.1,18.91,43865
2024-07-12,19.47,19.86,17.94,18.5,28482
2024-07-15,18.67,19.4212,17.39,17.87,40748
2024-07-16,17.87,19.25,17.5691,18.84,46273
2024-07-17,18.64,18.774,17.83,18.42,13721
2024-07-18,18.05,18.387,16.683,16.77,45222
2024-07-19,17.03,17.285,15.89,16.22,28078
2024-07-22,16.7,16.86,16.07,16.34,13912
2024-07-23,16.47,16.75,16.16,16.25,13320
2024-07-24,15.9,16.2,15.65,15.65,12362
2024-07-25,15.78,16.04,15.51,15.59,16002
2024-07-26,15.91,15.91,14.9125,15,43824
2024-07-29,15.08,15.08,14.347,14.52,23311
2024-07-30,14.65,14.76,14.0034,14.05,18427
2024-07-31,14.57,15.6299,14.5,14.9,30289
2024-08-01,14.79,14.86,13.181,13.35,70176
2024-08-02,13.04,13.5408,11.15,11.48,129557
2024-08-05,10.57,11.21,10.01,10.05,52204
2024-08-06,10.26,11.94,10.26,11,70711
2024-08-07,11.37,11.5634,10.11,10.15,26937
2024-08-08,10.37,10.94,10.37,10.6,21438
2024-08-09,10.59,11.19,10.3831,10.98,16193
2024-08-12,11.01,11.095,10.3,10.3,13906
2024-08-13,10.5,11.3,10.25,10.91,30237
2024-08-14,10.95,11.325,10.62,10.64,25669
2024-08-15,10.87,12.4199,10.87,11.8,42305
2024-08-16,11.7,13.39,11.64,13.26,38799
2024-08-19,13.39,13.87,12.4701,12.73,35808
2024-08-20,12.7,13,11.69,11.69,19929
2024-08-21,11.8,14.5357,11.65,13.92,82423
2024-08-22,14.5,17,14.26,14.49,214708
2024-08-23,15,15.63,13.65,13.7,72634
2024-08-26,13.7,13.7,12.51,12.73,55267
2024-08-27,12.45,13,12.11,12.58,68833
2024-08-28,12.38,13.03,11.65,12,81719
2024-08-29,12.04,12.5625,11.9299,12.22,38412
2024-08-30,12.31,14.81,12.245,13.32,166512
2024-09-03,13.47,14.2933,12.1,12.13,150583
2024-09-04,12,14.35,12,13.98,170395
2024-09-05,14.81,15.41,13.1993,15.08,345895
2024-09-06,13.65,13.99,9.3,10.9,611339
2024-09-09,11,11.06,9.88,10.26,211412
2024-09-10,10.28,10.53,9.5,9.89,146463
2024-09-11,9.92,10.57,9.71,9.91,98955
2024-09-12,9.95,10.56,9.56,9.98,103300
2024-09-13,10.13,10.84,9.8013,10.43,115889
2024-09-16,10.42,10.5,9.79,10.29,62844
2024-09-17,10.41,11.4,10.1,10.22,111728
2024-09-18,10.23,10.48,9.52,9.62,93462
2024-09-19,10.25,10.25,9.5644,9.9,92177
2024-09-20,9.8,9.8935,7.8011,8.41,223403
2024-09-23,8.33,9.89,8.1004,9.45,154208
2024-09-24,9.47,10.32,9.47,9.63,83781
2024-09-25,9.54,10.43,9.32,9.55,156195
2024-09-26,9.73,10.25,9.5114,9.93,63389
2024-09-27,10.03,10.46,9.9,10.12,64674
2024-09-30,9.91,10.42,9.5,9.64,53638
2024-10-01,9.59,9.59,9,9.08,66262
2024-10-02,9.04,9.46,8.92,9.26,44664
2024-10-03,9.16,9.2,8.88,9.04,19840
2024-10-04,9.29,9.383663,9.04,9.35,15441
2024-10-07,9.45,9.71,8.95,9.71,23890
2024-10-08,9.73,9.73,9.1179,9.37,15566
2024-10-09,9.44,10.59,9.44,10.2,114800
2024-10-10,10,10.4,9.84,10.1,21351
2024-10-11,9.99,10.2999,9.99,10.11,26919
2024-10-14,10.02,10.32,9.5,9.76,68714
2024-10-15,9.81,9.99,9.52,9.71,28303
2024-10-16,9.74,10.07,9.5,9.78,41367
2024-10-17,9.8,9.915,9.62,9.62,10851
2024-10-18,9.89,10.855,9.6357,10.57,92895
2024-10-21,10.42,10.8416,10.01,10.07,33120
2024-10-22,10.09,10.4735,9.605,9.97,61124
2024-10-23,10.01,10.62,9.91,10.35,54435
2024-10-24,10.52,10.5537,9.885,10.14,67240
2024-10-25,10.17,10.32,9.69,9.95,46153
2024-10-28,10.08,10.48,9.9102,10.15,45282
2024-10-29,10.12,10.36,10.05,10.19,14686
2024-10-30,10,10.4999,9.75,9.98,48320
2024-10-31,9.86,10,9.1001,9.18,65887
2024-11-01,9.3,9.54,9.06,9.37,37708
2024-11-04,9.41,9.89,9.32,9.85,18926
2024-11-05,9.91,11.140384,9.7,11.08,66520
2024-11-06,10.54,10.86,9.51,9.62,120139
2024-11-07,9.6,9.96,8.93,9.49,94126
2024-11-08,9.5,10.05,9.5,9.715,60557
2024-11-11,9.94,10.245,9.74,9.86,53027
2024-11-12,9.76,10.2,9.76,10.1,32665
2024-11-13,10.11,10.39,9.76,10.17,40030
2024-11-14,10.13,10.2571,9.14,9.63,58024
2024-11-15,9.65,9.7,9.12,9.38,46190
2024-11-18,9.46,9.6199,9.1665,9.36,28444
2024-11-19,9.05,9.59,9.05,9.44,18894
2024-11-20,9.44,9.7429,8.725,9.26,59245
2024-11-21,9.39,9.76,9.1805,9.68,66899
2024-11-22,9.64,9.83,9.37,9.6,33184
2024-11-25,9.68,10.25,9.53,10.01,51504
2024-11-26,10.01,10.25,9.6266,10.05,22281
2024-11-27,10.05,10.24,9.61,9.99,46865
2024-11-29,10.23,11.9,10.1,11.73,75043
2024-12-02,12.29,12.5,11.4401,11.92,127797
2024-12-03,12.42,12.4444,11.25,11.55,90524
2024-12-04,11.55,12.1,11.4483,11.68,49322
2024-12-05,11.7,11.7,11.0001,11.25,45324
2024-12-06,11.38,13.66,11.38,12.82,280961
2024-12-09,12.69,12.69,9.53,10.02,591970
2024-12-10,10.06,10.69,9.01,9.55,217320
2024-12-11,9.69,9.8,8.9701,9.15,181770
2024-12-12,9.15,9.28,8.54,8.9,106235
2024-12-13,8.79,9.14,8.5,9.04,62546
2024-12-16,8.98,9.1366,8.2551,8.54,156401
2024-12-17,8.45,8.84,8.2,8.72,88753
2024-12-18,8.8,8.8,7.97,8.03,72381
2024-12-19,8.22,8.5203,8,8.29,56566
2024-12-20,8.37,8.64,8.01,8.3,40782
2024-12-23,8.21,8.34,7.88,8.15,56998
2024-12-24,8.15,8.2546,8.011,8.14,14851
2024-12-26,8.09,8.74,8.01,8.69,88435
2024-12-27,8.63,9.4353,8.58,9.35,75998
2024-12-30,9.15,9.3467,8.595,8.84,118256
2024-12-31,9.04,9.6381,8.42,8.5,111108
2025-01-02,8.5,9.37,8.5,9.13,63455
2025-01-03,9.3,9.5,8.992,9.19,41861
2025-01-06,9.19,9.4,8.84,8.87,61089
2025-01-07,8.85,9.1,8.5217,8.79,31747
2025-01-08,8.76,8.84,8.43,8.66,38931
2025-01-10,8.5,8.59,8.16,8.43,116731
2025-01-13,8.1678,8.565,8.07,8.31,46048
2025-01-14,8.34,8.34,7.91,8.01,62597
2025-01-15,8.42,8.825,7.9868,8.63,77199
2025-01-16,8.67,8.67,8.3,8.445,27159
2025-01-17,8.41,8.6441,8.38,8.56,25792
2025-01-21,8.56,8.7599,8.49,8.69,24609
2025-01-22,8.79,8.81,8.44,8.44,15099
2025-01-23,8.51,8.695,8.41,8.61,10122
2025-01-24,8.625,8.6878,8.41,8.5,10735
2025-01-27,8.3,8.56,8.1871,8.25,23093
2025-01-28,8.3,8.54,8.2001,8.42,14258
2025-01-29,8.37,8.5,8.16,8.26,47566
2025-01-30,8.3,8.445,8.19,8.19,14637
2025-01-31,8.23,8.3087,7.8,8.08,31629
2025-02-03,7.81,8.0878,7.53,7.72,64793
2025-02-04,7.65,8.05,7.25,7.35,99575
2025-02-05,7.5,7.8,7.3501,7.8,37945
2025-02-06,7.64,7.7288,7.4187,7.49,22612
2025-02-07,7.43,7.6426,7.13,7.15,47469
2025-02-10,7.27,7.28,6.86,7.18,48297
2025-02-11,7.05,7.315,7.05,7.08,13038
2025-02-12,7,7.45,7,7.44,22212
2025-02-13,7.22,7.35,7.19,7.24,9479
2025-02-14,7.21,7.33,7.04,7.16,9934
2025-02-18,7.22,7.315,7.0188,7.16,36962
2025-02-19,7.1,7.1874,6.72,6.85,52358
2025-02-20,6.91,7.06,6.54,6.66,39951
2025-02-21,6.8,6.8,6.3,6.49,49283
2025-02-24,6.39,6.455,6.155,6.28,17217
2025-02-25,6.27,6.43,6.11,6.32,13944
2025-02-26,6.26,6.315,6.14,6.24,16168
2025-02-27,6.2,6.36,5.5995,5.75,75186
2025-02-28,5.63,5.7353,4.88,5.17,170134
